ID,description,country,weather,time_of_day,season,activity,mood
25,"small town with snow over the house roofs, love the nature and the country have a lot of it",Romania,Snowy,Evening,Winter,Hiking,Excitement
26,"mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",Netherlands,Cloudy,Afternoon,Fall,Relaxing,Adventure
27,"a tall tower in the shape of A, I have all my bestfriends in this place",France,Sunny,Evening,Spring,Sightseeing,Romance
28,"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
29,"""snowy lakeside village that brings inner peace to the visitor""",Austria,Cloudy,Afternoon,Winter,Relaxing,Melancholy
30,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Brazil,Sunny,Afternoon,Summer,Sightseeing,Happiness
31,"""Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie""",China,Cloudy,Afternoon,Spring,Sightseeing,Excitement
32,"""lantern-lit city at night with warm colors""",Vietnam,Not Clear,Evening,Spring,Water Sports,Romance
33,"""Shibuya Crossing at night with neon light everywhere """,Japan,Not Clear,Evening,Fall,city nightlife exploring,Excitement
34,"""Horseshoe falls with huge mist cloud and strong water flow """,Canada,Sunny,Afternoon,Winter,Sightseeing,Adventure
35,"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,France,Cloudy,Evening,Fall,Sightseeing,Adventure
36,"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",Portugal,Sunny,Morning,Spring,Hiking,Excitement
37,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Switzerland,Sunny,Afternoon,Summer,Exploring,Romance
38,"A clear aerial view of a Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
39,"A stunning sunset view of the Maidens Tower in Istanbul, illuminated warmly as the city skyline glows behind it. The vibrant sky blends orange and blue, creating a magical atmosphere over the Bosphorus.",Turkey,Not Clear,Evening,Fall,Sightseeing,Romance
40,"Trekkers hiking through the rocky trails of the Everest region in the Himalayas, surrounded by dramatic mountain landscapes and clear blue skies. The snowy peaks create a breathtaking, adventurous atmosphere.",Nepal,Sunny,Morning,Fall,Hiking,Adventure
41,"A stunning alpine landscape in Switzerland with bright green hills, a peaceful lake, wooden cabins, and towering snow-covered peaks under a clear blue sky. A postcard-perfect mountain view.",Switzerland,Sunny,Afternoon,Summer,Sightseeing,Happiness
42,"A vibrant night scene in Kabukicho, Tokyo, filled with colorful neon lights, busy crosswalks, and lively crowds. The illuminated buildings highlight the energetic nightlife of Japan's capital.",Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
43,"A peaceful desert highway in Texas leading toward rugged, sunlit mountains. The warm evening light casts dramatic shadows across the rocky landscape, capturing the quiet beauty of the American Southwest.",USA,Sunny,Evening,Fall,No Activity,Nostalgia
44,A breathtaking sunset scene at the Pyramids of Giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows. The silhouettes of the ancient pyramids create a timeless and adventurous atmosphere.,Egypt,Sunny,Evening,Not Clear,Sightseeing,Adventure
45,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris.",France,Sunny,Evening,Fall,Sightseeing,Romance
46,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irmãos mountains create a perfect blend of nature, surf culture, and Brazilian energy.",Brazil,Sunny,Evening,Summer,Relaxing,Happiness
47,A majestic view of the Great Wall of China winding across lush green mountains under a dramatic cloudy sky. The ancient stone towers and pathways highlight the vast scale and historical significance of this landmark.,China,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
48,Eiffel Tower in Paris during sunset with colorful sky,France,Sunny,Evening,Summer,Sightseeing,Romance
49,White houses and blue domes in Santorini on a bright day,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
50,Shibuya crossing in Tokyo full of people and bright neon lights,Japan,Not Clear,Evening,Not Clear,Shopping,Excitement
51,Turquoise water and overwater bungalows in the Maldives,Maldives,Sunny,Afternoon,Summer,Relaxing,Romance
52,The ancient rock-carved facade of Petra between high cliffs,Jordan,Sunny,Afternoon,Summer,Hiking,Curiosity
53,Times Square in New York with colorful billboards and crowds,USA,Not Clear,Evening,Not Clear,Sightseeing,Excitement
54,Snow-covered peaks of the Swiss Alps with a valley below,Switzerland,Snowy,Afternoon,Winter,Hiking,Adventure
55,Green rice terraces in Bali surrounded by tropical trees,Indonesia,Sunny,Morning,Spring,Hiking,Happiness
56,The Great Pyramids of Giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
57,Hot air balloons flying over the rocky valleys of Cappadocia,Turkey,Sunny,Morning,Summer,Adventure Sports,Adventure
58,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",France,Sunny,Evening,Summer,Sightseeing,Happiness
59,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,Japan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
60,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",South Africa,Sunny,Afternoon,Summer,Hiking,Adventure
61,"A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco. I chose this place because Im curious to learn more about its rich history, culture, and beautiful traditional atmosphere.",Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
62,A woman sitting on a log near a snow-covered body of water in Canada. I chose this place for its serene winter landscape and the peaceful feeling of being close to nature.,Canada,Snowy,Morning,Winter,Hiking,Adventure
63,Stands of the Spotify Camp Nou Stadium in Barcelona. I chose this place because of my passion for football and the iconic atmosphere of the stadium.,Spain,Sunny,Afternoon,Spring,Sightseeing,Excitement
64,A portrait of a kangaroo in an Australian animal park. I chose this place because Im curious to explore Australias wildlife and natural environment.,Australia,Sunny,Afternoon,Summer,Sightseeing,Curiosity
65,A massive iceberg floating in Greenlands icy waters. I chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes.,Greenland,Snowy,Morning,Winter,Sightseeing,Adventure
66,A red hammock tied between two trees in the Maldives. I chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
67,A man riding a horse in traditional clothing in Tunisia. I chose this place for its rich cultural heritage and the charm of experiencing local traditions.,Tunisia,Cloudy,Afternoon,Fall,Sightseeing,Curiosity
68,"Alhambra Palace, A historic Moorish palace in Granada famous for its intricate carvings, gardens, and Islamic architectural beauty.",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
69,"Vatican City, St. Peters Basilica glowing beautifully over the river at sunset.",Italy,Not Clear,Evening,Summer,Sightseeing,Excitement
70,"Dome of the Rock, A golden-domed Islamic shrine in Jerusalem known for its striking architecture and sacred significance.",Palestine,Not Clear,Evening,Spring,Sightseeing,Happiness
71,"Umayyad Mosque, A stunning view of the courtyard with golden mosaics and ancient architecture.",Syria,Cloudy,Morning,Fall,Sightseeing,Nostalgia
72,"Giza Pyramids, Camels crossing the desert in front of the iconic Great Pyramid.",Egypt,Cloudy,Afternoon,Spring,Riding,Adventure
73,"Santorini, White cliffside houses overlooking the blue sea with pink bougainvillea trees.",Greece,Sunny,Morning,Spring,Relaxing,Romance
74,"A traditional market in Fez, where colorful slippers and handmade crafts line the steps, showcasing the citys rich heritage.",Morocco,Sunny,Afternoon,Summer,Shopping,Excitement
75,"The Australian Alps, known for their high peaks and snowy landscapes, offer some of the countrys highest and most scenic mountain views.",Australia,Snowy,Afternoon,Winter,Hiking,Adventure
76,"Central London, known for its historic streets and iconic red double-decker buses, is one of the citys most recognizable and vibrant areas.",UK,Rainy,Afternoon,Winter,Sightseeing,Romance
77,"The famous Berlin Cathedral, illuminated beautifully at night, reflected on the waters of the Spree River amid a calm and charming atmosphere.",Germany,Cloudy,Evening,Summer,Sightseeing,Curiosity
78,A romantic view of the Eiffel Tower hidden between the trees.,France,Cloudy,Evening,Fall,Sightseeing,Romance
79,A peaceful view of Santorinis iconic blue-domed building overlooking the sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
80,Cherry blossoms surrounding a traditional temple in Kyoto.,Japan,Sunny,Morning,Spring,Sightseeing,Curiosity
81,A breathtaking coastal view of Amalfi with boats floating in crystal blue water.,Italy,Sunny,Afternoon,Summer,Sightseeing,Romance
82,A serene lakeside view of Hallstatt surrounded by mountains.,Austria,Cloudy,Morning,Fall,Relaxing,Nostalgia
83,Aerial view of Balis lush green rice terraces.,Indonesia,Sunny,Morning,Spring,Hiking,Adventure
84,Central Park during autumn with warm orange and yellow trees.,USA,Cloudy,Afternoon,Fall,Sightseeing,Melancholy
85,"A beautiful view of Chefchaouen, Moroccos famous blue city.",Morocco,Sunny,Morning,Summer,Sightseeing,Happiness
86,Colorful floral pathways inside Dubai Miracle Garden.,UAE,Sunny,Afternoon,Winter,Relaxing,Happiness
87,A peaceful lake view in Lucerne surrounded by green mountains.,Switzerland,Sunny,Morning,Spring,Relaxing,Romance
88,This photo shows the Eiffel Tower on a morning. I chose this place because it is very famous and I want to visit Paris.,France,Sunny,Morning,Fall,Sightseeing,Romance
89,This photo shows the Grand Canyon during sunrise with beautiful colors on the rocks. I chose this place because it looks amazing and I want to visit it one day,USA,Sunny,Morning,Spring,Hiking,Adventure
90,This photo shows the Swiss Alps with a snowy mountain blue lakes and green valleys. I chose this place because it looks peaceful and very beautiful.,Switzerland,Sunny,Morning,Summer,Hiking,Happiness
91,This photo shows the Statue of Liberty on a sunny day with a beautiful view of the city behind it. I chose this place because it is very famous and I want to visit New York one day.,USA,Sunny,Afternoon,Fall,Sightseeing,Curiosity
92,This photo shows beautiful overwater villas in the Maldives during sunset. I chose this place because it looks peaceful and perfect for relaxing,Maldives,Sunny,Evening,Summer,Relaxing,Happiness
93,This photo shows Shibuya Crossing at night with many people and bright lights. I chose this place because it looks exciting and full of energy.,Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
94,This photo shows Oia in Santorini during sunset with white houses and a beautiful sea view. I chose this place because it looks peaceful and very famous.,Greece,Sunny,Evening,Summer,Walking,Romance
95,This photo shows the Dome of the Rock covered in snow with people playing outside. I chose this place because it is important and very beautiful especially in the snow.,Palestine,Snowy,Afternoon,Winter,Sightseeing,Happiness
96,This photo shows Tower Bridge in London at night with bright lights. I chose this place because it is a famous landmark and I want to visit London one day.,UK,Not Clear,Evening,Not Clear,Sightseeing,Curiosity
97,This image shows Stonehenge covered in snow. I chose this place because it is very old and mysterious and I would like to see it in real life.,UK,Snowy,Morning,Winter,Sightseeing,Curiosity
98,"Swiss cows grazing in the Berner Oberland Alps, chosen for its peaceful nature and classic Swiss scenery.",Switzerland,Sunny,Afternoon,Summer,Wildlife/Nature,Happiness
99,"Eiffel Tower in Paris at sunset, chosen because it's an iconic landmark and dream destination for many travelers.",France,Sunny,Evening,Summer,Sightseeing,Romance
100,"Amsterdam canals with bicycles and Dutch houses, chosen for its beautiful city architecture and peaceful waterways.",Netherlands,Sunny,Afternoon,Spring,Walking,Happiness
101,"Old Town Square in Prague at sunset, chosen for its magical medieval atmosphere and golden skyline.",Czech Republic,Sunny,Evening,Fall,Sightseeing,Nostalgia
102,"Alhambra in Granada, a historic Islamic palace chosen for its architecture and cultural importance.",Spain,Sunny,Afternoon,Summer,Cultural,Curiosity
103,"Lake Como overlooking the mountains, chosen for its peaceful water views and charming villages.",Italy,Sunny,Afternoon,Summer,Relaxing,Happiness
104,"Hallstatt village covered in snow, chosen for its fairy-tale beauty and winter charm.",Austria,Snowy,Morning,Winter,Walking,Nostalgia
105,"Interlaken with mountains and lakes, chosen for its adventure atmosphere and natural beauty.",Switzerland,Sunny,Afternoon,Summer,Hiking,Adventure
106,"Aerial view of Santiago Bernabéu Stadium in Madrid, chosen for its importance in football culture.",Spain,Sunny,Afternoon,Spring,Sports,Excitement
107,"Uzungöl Lake in Turkey surrounded by mountains and village homes, chosen for its peaceful natural scenery.",Turkey,Cloudy,Morning,Fall,Relaxing,Happiness
108,Falls  massive waterfalls on the Brazil,Brazil,Sunny,Morning,Summer,Exploring,Adventure
109,"Pantanal Wetlands ""Vast wetland with rivers, lakes, and diverse wildlife""",Brazil,Sunny,Morning,Spring,Sightseeing,Excitement
110,"Serra dos orgos National Park "" Mountainous park with jagged rock formations, rivers""",Brazil,Sunny,Morning,Summer,Walking,Adventure
111,"Salvador colorful historic streets of Pelourinho""",Brazil,Sunny,Morning,Summer,Sightseeing,Happiness
112,"Soca River Valley ""Stunning turquoise river flowing through mountains and forests""",Slovenia,Sunny,Afternoon,Winter,Hiking,Adventure
113,"""Iconic peaks, glaciers, rivers""",Chile,Cloudy,Evening,Winter,Photography,Adventure
114,"Mountains ""Matterhorn and alpine peaks""",Switzerland,Snowy,Afternoon,Winter,Relaxing,Happiness
115,"""Thick pine forests, rolling hills, small villages""",Germany,Cloudy,Afternoon,Spring,Walking,Nostalgia
116,"""Pillar-like mountains, inspiration for Avatar movie""",China,Cloudy,Morning,Winter,Hiking,Curiosity
117,"""Blue ice formations inside a glacier""",Iceland,Snowy,Afternoon,Winter,Hiking,Curiosity
118,"""The Great Pyramids of Giza in Egypt, ancient wonders of the world.""",Egypt,Sunny,Afternoon,Summer,Sightseeing,Curiosity
119,"""The Citadel of Qaitbay in Alexandria, Egypt, a historic fortress on the Mediterranean coast.""",Egypt,Sunny,Afternoon,Summer,Sightseeing,Excitement
120,"""The Kaaba in Mecca, Saudi Arabia, the holiest site in Islam.""",Saudi Arabia,Sunny,Afternoon,Summer,Cultural,Happiness
121,"""The Dome of the Rock in Jerusalem, a historic Islamic shrine with a golden dome.""",Palestine,Not Clear,Evening,Not Clear,Cultural,Happiness
122,"""The blue-domed churches and white-washed buildings of Oia, Santorini, Greece, overlooking the sea.""",Greece,Cloudy,Evening,Summer,Relaxing,Happiness
123,"A traditional Japanese Torii gate and temple structure illuminated at dusk, suggesting a quiet, spiritual place.",Japan,Cloudy,Evening,Fall,Sightseeing,Melancholy
124,"""The Eiffel Tower in Paris, France, an iconic landmark and symbol of French culture.""",France,Snowy,Evening,Winter,Sightseeing,Romance
125,"The Taj Mahal in Agra, India, iconic white marble mausoleum and symbol of love.",India,Sunny,Morning,Spring,Sightseeing,Adventure
126,"The Elizabeth Tower (Big Ben) in London, a famous historical clock tower.",UK,Snowy,Evening,Winter,Relaxing,Happiness
127,"""The Statue of Liberty in New York City, USA, a symbol of freedom and democracy.""",USA,Cloudy,Evening,Fall,Sightseeing,Excitement
128,Al-Aqsa Mosque a sacred and historical Islamic site,Palestine,Rainy,Afternoon,Winter,Sightseeing,Nostalgia
129,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,Sightseeing,Curiosity
130,Seoul cityscape vibrant city with modern architecture ,South Korea,Cloudy,Evening,Spring,Relaxing,Curiosity
131,Eiffel Tower in Paris an iconic landmark in France.,France,Sunny,Afternoon,Fall,Sightseeing,Happiness
132,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,Canada,Snowy,Evening,Winter,Hiking,Excitement
133,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,Tunisia,Sunny,Afternoon,Summer,Relaxing,Happiness
134,Santorini iconic white houses and blue domes on cliffs overlooking the sea,Greece,Sunny,Afternoon,Spring,Relaxing,Happiness
135,Beach in Thailand with crystal clear water perfect for relaxation and leisure,Thailand,Sunny,Morning,Summer,Sightseeing,Adventure
136,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,Maldives,Sunny,Evening,Summer,Sightseeing,Excitement
137,Cologne Cathedral in Germany  Gothic architecture with intricate details,Germany,Sunny,Morning,Summer,Sightseeing,Curiosity
138,"A candid scene of daily life in Bali during heavy rainfall, showing a person on a motorcycle in front of a traditional building with decorated roofs. The rain in the image indicates that it's summer in Bali because it rains there during the summer. I chose Bali to experience its vibrant culture, tropical weather, and authentic local lifestyle.",Indonesia,Rainy,Afternoon,Summer,Sightseeing,Curiosity
139,"A stunning view of Iceland's dramatic coastline: black sand beaches, powerful ocean waves crashing against the rocky cliffs, and the aurora borealis glowing in the sky. When you see the aurora like that, it's definitely Fall the best time to catch this phenomenon. I picked Iceland for its weird volcanic landscapes, the raw untouched nature that's unlike anywhere else, and of course, the magical aurora borealis.",Iceland,Cloudy,Evening,Fall,Relaxing,Adventure
140,A stunning view of Istanbul's iconic Maiden's Tower (K?z Kulesi) standing in the brilliant blue waters of the Bosphorus strait under clear skies. I chose Istanbul to experience its unique blend of European and Asian cultures and explore its rich Ottoman heritage.,Turkey,Sunny,Afternoon,Spring,Sightseeing,Curiosity
141,"A stunning sunset view of Kyoto's traditional pagoda temple illuminated against a colorful sky, surrounded by historic Japanese architecture. I chose Kyoto to experience traditional Japanese culture, visit ancient temples, and witness the beauty of cherry blossoms.",Japan,Cloudy,Evening,Fall,Sightseeing,Romance
142,An aerial view of a luxurious Maldives resort with overwater bungalows extending into crystal-clear turquoise lagoons and pristine white sandy beaches. I chose the Maldives for its paradise-like tropical islands and perfect relaxation in stunning natural beauty.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
143,"The iconic Koutoubia Mosque minaret tower rising above traditional Moroccan gardens with palm trees and lush vegetation. I chose Marrakech to experience the vibrant souks, stunning Islamic architecture, and rich North African culture.",Morocco,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
144,"The iconic Eiffel Tower visible in the distance along the flooded Seine River during heavy rainfall in Paris. I chose Paris to experience the city of lights in all its moods, visit world-famous museums like the Louvre, and enjoy French art and cuisine.",France,Rainy,Afternoon,Spring,Sightseeing,Melancholy
145,"The magnificent Treasury (Al-Khazneh) carved into rose-red sandstone cliffs in the ancient city of Petra, with traditional horse carriages in front. I chose Petra to explore this UNESCO World Heritage site and witness the incredible Nabataean architecture carved into rock over 2,000 years ago.",Jordan,Sunny,Morning,Spring,Sightseeing,Excitement
146,"The iconic white-washed buildings and blue-domed churches of Santorini perched on dramatic cliffs overlooking the deep blue Aegean Sea. I chose Santorini for its breathtaking sunsets, stunning caldera views, and romantic Mediterranean atmosphere.",Greece,Cloudy,Afternoon,Summer,Sightseeing,Romance
147,"A stunning winter scene in the Swiss Alps with snow-covered mountains, frosted forests, and a traditional alpine chalet nestled in pristine white snow. I chose the Swiss Alps to experience breathtaking mountain landscapes, winter sports, and the magical beauty of snow-covered peaks.",Switzerland,Snowy,Morning,Winter,Hiking,Adventure
148,"A view of the Court of the Lions in the Alhambra Palace in Granada, showing detailed Islamic arches and a marble fountain with lion statues.",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
149,"Old stone ruins from the Angkor temple area in Cambodia, with carved walls and tall temple buildings in bright sunlight.",Cambodia,Sunny,Afternoon,Summer,Sightseeing,Adventure
150,"A wide view of the Colosseum in Rome during sunset, with warm golden light illuminating the ancient stone arches.",Italy,Sunny,Evening,Fall,Sightseeing,Excitement
151,"A strong view of the Skafoss waterfall in Iceland, with green cliffs around it and mist rising from the falling water.",Iceland,Sunny,Afternoon,Summer,Sightseeing,Adventure
152,"A panoramic view of the Old City of Jerusalem, featuring the Al-Aqsa Mosque, the golden Dome of the Rock, and the historic stone walls with the modern skyline in the background.",Palestine,Sunny,Afternoon,Spring,Sightseeing,Curiosity
153,"A vibrant scene at the Izmir Clock Tower in Konak Square, with palm trees, pigeons, and people enjoying the sunny day around the historic landmark.",Turkey,Sunny,Afternoon,Summer,Sightseeing,Happiness
154,"A strong view of Antarcticas icy mountains rising above the cold ocean, with snowy peaks, glaciers, and pieces of ice floating on the water.",Antarctica,Cloudy,Afternoon,Summer,Sightseeing,Adventure
155,"Ulun Danu Beratan Temple in Bali, built on small islands on Lake Beratan, surrounded by calm water and green mountains.",Indonesia,Cloudy,Afternoon,Not Clear,Sightseeing,Happiness
156,"A busy night scene in Times Square in New York City, with bright signs, yellow taxis, and many people walking on the lit-up streets.",USA,Not Clear,Evening,Not Clear,Sightseeing,Excitement
157,"A clear daytime view of Big Ben and the Palace of Westminster in London, with people and cars crossing Westminster Bridge under a bright blue sky.",UK,Sunny,Afternoon,Summer,Sightseeing,Curiosity
158,The Treasury in Petra carved into the red sandstone cliffs. I chose this place because I love ancient history and dream of walking through the Siq to see this view in real life.,Jordan,Sunny,Afternoon,Spring,Sightseeing,Adventure
159,Bright red torii gate and main shrine buildings at Fushimi Inari in Kyoto. I chose it because I love Japanese culture and want to walk through the endless torii gates.,Japan,Sunny,Afternoon,Spring,Sightseeing,Curiosity
160,Brooklyn Bridge and the New York City skyline at sunset with snow along the riverbank. I chose it because I want to experience the energy of New York and see this view in real life.,USA,Snowy,Evening,Winter,Sightseeing,Excitement
161,The Colosseum in Rome on a clear day with people walking around the ancient arena. I chose it because I love Roman history and want to imagine how it looked in the past.,Italy,Sunny,Afternoon,Summer,Sightseeing,Curiosity
162,Autumn trees in Greenwich Park with golden and orange leaves and a soft sky in the background. I chose it because I love peaceful autumn walks and the warm colors of the park.,UK,Cloudy,Afternoon,Fall,Relaxing,Nostalgia
163,Green rice terraces in Bali with palm trees and soft light over the hills. I chose it because I love peaceful tropical nature and want to walk between the terraces.,Indonesia,Cloudy,Morning,Summer,Hiking,Happiness
164,Green northern lights shining across the dark sky above snowy mountains and a still lake in Iceland. I chose it because seeing the aurora in person is one of my biggest travel dreams.,Iceland,Snowy,Evening,Winter,Sightseeing,Adventure
165,White houses and a busy harbor on a Greek island with clear turquoise water and small boats. I chose it because I dream of island-hopping in Greece and relaxing by the sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
166,"Wet cobblestone street leading to Galata Tower in Istanbul, with people walking between old buildings on a rainy day. I chose it because I love the cozy feeling of exploring historic streets in the rain.",Turkey,Rainy,Afternoon,Fall,Walking,Curiosity
167,"A peaceful evening view of Mecca, capturing the spiritual atmosphere of the holy city. I chose this place because it represents faith, unity, and it gave me a lifetime pilgrimage experience visit.",Saudi Arabia,Not Clear,Evening,Not Clear,Cultural,Happiness
168,"This image shows the colorful coastline of Miami, a place I have already visited and really enjoyed. I chose it because of Miami? beaches, vibrant atmosphere , and warm weather.",USA,Cloudy,Evening,Summer,Boarding,Excitement
169,"This image captures the historic and spiritual beauty of Jerusalem. I included it in my list because I have visited the city, and experiencing its ancient landmarks left a deep impression on me.",Palestine,Sunny,Evening,Summer,Sightseeing,Nostalgia
170,The hot air balloons over Cappadocia are a sight I have always wanted to experience. The unique landscape and peaceful sunrise make it a dream destination,Turkey,Sunny,Afternoon,Spring,Adventure Sports,Adventure
171,This image shows a bright spring morning in Paris with flowers blooming and the Eiffel Tower in view. I chose this place because I would love to visit Paris in the spring .,France,Sunny,Morning,Spring,Sightseeing,Happiness
172,"This image shows a calm New York City morning, with buildings rising above the streets and the city slowly coming to life , I chose this destination because New York night view inspires me , the glowing skyscrapers, bright lights, and energy of the city at night always make me want to visit.",USA,Cloudy,Morning,Fall,Sightseeing,Excitement
173,"A peaceful small-boat tour gliding through the canals of Italy, surrounded by historic architecture and calm waters. I hope to visit this place one day to enjoy its cultural charm.",Italy,Sunny,Morning,Summer,Water Sports,Romance
174,"A traditional souk in old Syria filled with narrow lanes, local shops, and historic architecture. I chose this place because I admire the cultural beauty and the feeling of walking through ancient markets.",Syria,Not Clear,Afternoon,Not Clear,Shopping,Melancholy
175,"A breathtaking view of one of California iconic national parks, surrounded by towering cliffs, lush forests, and dramatic natural landscapes. I chose this destination because California parks like Yosemite, Sequoia, or Redwood are world famous for their beauty, and I dream of exploring the trails, wildlife, and peaceful nature they offer. It represents adventure and a deep appreciation for the outdoors.",USA,Cloudy,Morning,Fall,Hiking,Adventure
176,"The Basica de la Sagrada Famia in Barcelona, one of the world most famous architectural masterpieces. I chose this destination because its unique design and long history of construction make it a fascinating cultural icon.",Spain,Cloudy,Afternoon,Spring,Sightseeing,Curiosity
177,Eiffel Tower glowing at dusk with city lights. Iconic Paris view with romantic evening vibes.,France,Not Clear,Evening,Spring,Sightseeing,Romance
178,"The ancient terraces and mountains of Machu Picchu. Iconic Incan site showcasing history, architecture, and breathtaking natural scenery.",Peru,Sunny,Morning,Spring,Hiking,Curiosity
