image_url,description,country,weather,time_of_day,season,activity,mood
https://www.travelrebels.com/wp-content/uploads/2021/08/Wat-te-doen-op-madeira-1675x1116.jpg,a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise,Portugal,sunny,morning,spring,hiking,excitement
https://i.ibb.co/FM248qQ/Maldives.jpg,a clear aerial view of a maldives island featuring a white sandy beach turquoise water palm trees and a seaplane parked on the shore this image represents the peaceful tropical beauty of the maldives,Maldives,Sunny,Afternoon,Summer,relaxing,Happiness
https://i.ibb.co/jkd1nBNr/stanbul-T-rkiye.jpg,a stunning sunset view of the maiden s tower in istanbul illuminated warmly as the city skyline glows behind it the vibrant sky blends orange and blue creating a magical atmosphere over the bosphorus,Turkey,Not Clear,Evening,Fall,sightseeing,Romance
https://i.ibb.co/jv6gjjby/Himalayas-Nepal.jpg,trekkers hiking through the rocky trails of the everest region in the himalayas surrounded by dramatic mountain landscapes and clear blue skies the snowy peaks create a breathtaking adventurous atmosphere,Nepal,Sunny,Morning,Fall,hiking,Adventure
https://i.ibb.co/SDjM9FJZ/Switzerland.jpg,a stunning alpine landscape in switzerland with bright green hills a peaceful lake wooden cabins and towering snow covered peaks under a clear blue sky a postcard perfect mountain view,Switzerland,Sunny,Afternoon,Summer,sightseeing,Happiness
https://i.ibb.co/FkmsyX2S/Tokyo-Japan.jpg,a vibrant night scene in kabukich tokyo filled with colorful neon lights busy crosswalks and lively crowds the illuminated buildings highlight the energetic nightlife of japan s capital,Japan,Not Clear,Evening,Not Clear,sightseeing,Excitement
https://i.ibb.co/PZ0pQ0S7/Texas.jpg,a peaceful desert highway in texas leading toward rugged sunlit mountains the warm evening light casts dramatic shadows across the rocky landscape capturing the quiet beauty of the american southwest,USA,Sunny,Evening,Fall,no activity,Nostalgia
https://i.ibb.co/zVHFVpvV/Egypt.jpg,a breathtaking sunset scene at the pyramids of giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows the silhouettes of the ancient pyramids create a timeless and adventurous atmosphere,Egypt,Sunny,Evening,Not Clear,sightseeing,Adventure
https://i.ibb.co/Qv3fvjts/France-Paris.jpg,a picturesque parisian street leading to the eiffel tower at sunset with warm light reflecting off historic buildings and cobblestone streets the soft sky colors highlight the romantic charm of paris,France,Sunny,Evening,Fall,sightseeing,Romance
https://i.ibb.co/N6sbK2Vm/Rio-de-Janeiro-RJ-Brasil.jpg,a golden sunset at ipanema beach in rio de janeiro with surfboards in the sand and people enjoying the lively beachfront the iconic dois irm os mountains create a perfect blend of nature surf culture and brazilian energy,Brazil,Sunny,Evening,Summer,relaxing,Happiness
https://i.ibb.co/rfpjJ6Hw/The-Great-Wall-of-China.jpg,a majestic view of the great wall of china winding across lush green mountains under a dramatic cloudy sky the ancient stone towers and pathways highlight the vast scale and historical significance of this landmark,China,Cloudy,Afternoon,Summer,sightseeing,Curiosity
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStZG4hqhJSkFCv6jCoKdn66qqJ-vhqRbPWeg&s,eiffel tower in paris during sunset with colorful sky,France,Sunny,Evening,Summer,sightseeing,Romance
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSppEIRfNqKnMaQkoQHX3HI8kX2hhPgXZEO6A&s,white houses and blue domes in santorini on a bright day,Greece,Sunny,Afternoon,Summer,relaxing,Happiness
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCfLpPCQQeZCQgtmZC7_22VzTLW-VkqSobdQ&s,shibuya crossing in tokyo full of people and bright neon lights,Japan,Not Clear,Evening,Not Clear,shopping,Excitement
https://www.sunsiyam.com/media/qnfnzgmq/ssiv_general_04.jpg?width=782&height=521&mode=max,turquoise water and overwater bungalows in the maldives,Maldives,Sunny,Afternoon,Summer,relaxing,Romance
https://i.natgeofe.com/n/69e2cf60-ad59-4d20-bdd1-dc96f40ab4e8/petra-world-heritage-jordan_16x9.jpg?w=1200,the ancient rock carved facade of petra between high cliffs,Jordan,Sunny,Afternoon,Summer,hiking,Curiosity
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvK7AlHpiykQ5oe7TK1w1W-UFe5VC9UjOqCQ&s,times square in new york with colorful billboards and crowds,USA,Not Clear,Evening,Not Clear,sightseeing,Excitement
https://media.worldnomads.com/travel-safety/switzerland/lauterbrunnen-valley-switzerland-gettyimages-1024638132.jpg,snow covered peaks of the swiss alps with a valley below,Switzerland,Snowy,Afternoon,Winter,hiking,Adventure
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSHKACJb-mtGbqZIx6gUxmfuWDGnZgzPPtuw&s,green rice terraces in bali surrounded by tropical trees,Indonesia,Sunny,Morning,Spring,hiking,Happiness
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNU2o4QO_ejTIZXTunBgU6fFvoPYfIcwPCeA&s,the great pyramids of giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,sightseeing,Nostalgia
"https://res.cloudinary.com/enchanting/q_80,f_auto,c_fit,w_640,h_480/exodus-web/2024/09/AdobeStock_595373053.jpeg",hot air balloons flying over the rocky valleys of cappadocia,Turkey,Sunny,Morning,Summer,hot-air balloon ride,Adventure
https://images.pexels.com/photos/2265845/pexels-photo-2265845.jpeg,a distant view of the eiffel tower with surrounding buildings i chose this place because of its historic charm iconic architecture and relaxing atmosphere,France,Sunny,Evening,Summer,sightseeing,Happiness
https://images.pexels.com/photos/35066432/pexels-photo-35066432.jpeg,a traditional japanese house surrounded by colorful autumn trees i chose this place because of its peaceful atmosphere and the beauty of japanese architecture during the fall season,Japan,Sunny,Afternoon,Fall,sightseeing,Curiosity
https://images.pexels.com/photos/32585930/pexels-photo-32585930.jpeg,fishing boats docked in a scenic harbor in cape town i chose this place because its clear waters vibrant harbor atmosphere and sense of adventure make it an exciting travel destination,South Africa,Sunny,Afternoon,Summer,hiking,Adventure
https://images.pexels.com/photos/26841021/pexels-photo-26841021.jpeg,a young woman in traditional peruvian clothes standing among purple spring flowers in cusco i chose this place because i m curious to learn more about its rich history culture and beautiful traditional atmosphere,Peru,Sunny,Morning,Spring,sightseeing,Curiosity
https://images.pexels.com/photos/1450076/pexels-photo-1450076.jpeg,a woman sitting on a log near a snow covered body of water in canada i chose this place for its serene winter landscape and the peaceful feeling of being close to nature,Canada,Snowy,Morning,Winter,hiking,Adventure
https://images.pexels.com/photos/13043589/pexels-photo-13043589.jpeg,stands of the spotify camp nou stadium in barcelona i chose this place because of my passion for football and the iconic atmosphere of the stadium,Spain,Sunny,Afternoon,Spring,sightseeing,Excitement
https://images.pexels.com/photos/5840732/pexels-photo-5840732.jpeg,a portrait of a kangaroo in an australian animal park i chose this place because i m curious to explore australia s wildlife and natural environment,Australia,Sunny,Afternoon,Summer,sightseeing,Curiosity
https://images.pexels.com/photos/13314280/pexels-photo-13314280.jpeg,a massive iceberg floating in greenland s icy waters i chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes,Greenland,Snowy,Morning,Winter,sightseeing,Adventure
https://images.pexels.com/photos/1450372/pexels-photo-1450372.jpeg,a red hammock tied between two trees in the maldives i chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach,Maldives,Sunny,Morning,Summer,relaxing,Happiness
https://image2url.com/images/1764797123282-1f04db5d-565a-4236-a5bb-4eb884ca30c4.jpg,alhambra palace a historic moorish palace in granada famous for its intricate carvings gardens and islamic architectural beauty,Spain,Sunny,Afternoon,Summer,sightseeing,Curiosity
https://image2url.com/images/1764793193210-7481373c-b93e-4898-9455-bea4d2ef4764.jpg,vatican city st peter s basilica glowing beautifully over the river at sunset,Italy,Not Clear,Evening,Summer,sightseeing,Excitement
https://image2url.com/images/1764796564184-8e668f84-8f07-4846-aef5-e18b075120a5.jpg,dome of the rock a golden domed islamic shrine in jerusalem known for its striking architecture and sacred significance,Palestine,Not Clear,Evening,Spring,sightseeing,Happiness
https://image2url.com/images/1764796615612-e69f8397-3793-4e75-a6da-429b09513449.jpg,umayyad mosque a stunning view of the courtyard with golden mosaics and ancient architecture,Syria,Cloudy,Morning,Fall,sightseeing,Nostalgia
https://image2url.com/images/1764797064281-8ea75e68-733c-4762-8f51-0a68fb90a0dd.jpg,giza pyramids camels crossing the desert in front of the iconic great pyramid,Egypt,Cloudy,Afternoon,Spring,camel riding,Adventure
https://image2url.com/images/1764796690741-87a298f0-1f19-462d-b024-4d82be0793c3.jpg,santorini white cliffside houses overlooking the blue sea with pink bougainvillea trees,Greece,Sunny,Morning,Spring,relaxing,Romance
https://image2url.com/images/1764803169823-9b6a5ff6-147f-43e5-a09f-1b3baa29e203.jpg,a traditional market in fez where colorful slippers and handmade crafts line the steps showcasing the city s rich heritage,Morocco,Sunny,Afternoon,Summer,shopping,Excitement
https://image2url.com/images/1764796719508-235a6c71-c900-4657-a07d-5a183e5cf833.jpg,the australian alps known for their high peaks and snowy landscapes offer some of the country s highest and most scenic mountain views,Australia,Snowy,Afternoon,Winter,hiking,Adventure
https://image2url.com/images/1764801856222-892da2a6-4a78-4183-907c-9e6966af42c6.jpg,central london known for its historic streets and iconic red double decker buses is one of the city s most recognizable and vibrant areas,London,Rainy,Afternoon,Winter,sightseeing,Romance
https://image2url.com/images/1764796790401-e833b422-6649-4604-8401-479f67adcb3f.jpg,the famous berlin cathedral illuminated beautifully at night reflected on the waters of the spree river amid a calm and charming atmosphere,Germany,Cloudy,Evening,Summer,sightseeing,Curiosity
https://images.unsplash.com/photo-1730993175478-b634849f6536?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,a romantic view of the eiffel tower hidden between the trees,France,Cloudy,Evening,Fall,sightseeing,Romance
https://images.unsplash.com/photo-1678266561093-324802646fb2?q=80&w=1935&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,a peaceful view of santorini s iconic blue domed building overlooking the sea,Greece,Sunny,Afternoon,Summer,relaxing,Happiness
https://images.unsplash.com/photo-1547263892-4e06d4de872b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,cherry blossoms surrounding a traditional temple in kyoto,Japan,Clear,Morning,Spring,sightseeing,Curiosity
https://plus.unsplash.com/premium_photo-1676608101886-b46ded5ea20a?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,a breathtaking coastal view of amalfi with boats floating in crystal blue water,Italy,Sunny,Afternoon,Summer,sightseeing,Romance
https://plus.unsplash.com/premium_photo-1730475800647-cacc33d43e55?q=80&w=1075&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,central park during autumn with warm orange and yellow trees,USA,Cloudy,Afternoon,Fall,sightseeing,Melancholy
https://images.unsplash.com/photo-1655376406108-e0eabe306a15?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,a beautiful view of chefchaouen morocco s famous blue city,Morocco,Sunny,Morning,Summer,sightseeing,Happiness
https://images.unsplash.com/photo-1588314941393-af1c493f345c?q=80&w=1333&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,colorful floral pathways inside dubai miracle garden,UAE,Sunny,Afternoon,Winter,relaxing,Happiness
https://images.unsplash.com/photo-1629788163273-51d5301f4adf?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,a peaceful lake view in lucerne surrounded by green mountains,Switzerland,Clear,Morning,Spring,relaxing,Romance
https://i.pinimg.com/736x/a0/d8/5f/a0d85f67b1994ac8a87c4b9b7952901c.jpg,this photo shows the eiffel tower on a morning i chose this place because it is very famous and i want to visit paris,Paris,Sunny,Morning,Fall,sightseeing,Romance
https://i.pinimg.com/1200x/96/3f/c0/963fc0d525782c28029232805c3546c3.jpg,this photo shows the grand canyon during sunrise with beautiful colors on the rocks i chose this place because it looks amazing and i want to visit it one day,USA,Sunny,Morning,Spring,hiking,Adventure
https://i.pinimg.com/1200x/1f/fb/2e/1ffb2e664a125885776b15bfa3009ff2.jpg,this photo shows the swiss alps with a snowy mountain blue lakes and green valleys i chose this place because it looks peaceful and very beautiful,Switzerland,Sunny,Morning,Summer,hiking,Happiness
https://i.pinimg.com/1200x/f8/bf/d2/f8bfd2192e5c2f39765a5536030f69ba.jpg,this photo shows the statue of liberty on a sunny day with a beautiful view of the city behind it i chose this place because it is very famous and i want to visit new york one day,USA,Sunny,Afternoon,Fall,sightseeing,Curiosity
https://i.pinimg.com/1200x/91/2d/df/912ddf44f8e109662179c248fa9f0404.jpg,this photo shows beautiful overwater villas in the maldives during sunset i chose this place because it looks peaceful and perfect for relaxing,Maldive,Sunny,Evening,Summer,relaxing,Happiness
https://i.pinimg.com/1200x/4f/f8/52/4ff852ff954ad9b13da170d943d3f1d4.jpg,this photo shows oia in santorini during sunset with white houses and a beautiful sea view i chose this place because it looks peaceful and very famous,Greece,Sunny,Evening,Summer,walking,Romance
https://safa.ps/uploads//images/548537279d1726d8275b75c3e2f07485.jpg,this photo shows the dome of the rock covered in snow with people playing outside i chose this place because it is important and very beautiful especially in the snow,Palestine,Snowy,Afternoon,Winter,sightseeing,Happiness
https://images.unsplash.com/photo-1725715443700-58c019bc4ab9?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,this photo shows tower bridge in london at night with bright lights i chose this place because it is a famous landmark and i want to visit london one day,UK,Not Clear,Evening,Not Clear,sightseeing,Curiosity
https://i.guim.co.uk/img/media/274157bf4696d296d47614776d777ccc06d31d6d/0_336_3500_2100/master/3500.jpg?width=1200&quality=85&auto=format&fit=max&s=806a4fbcef5b6003b94f36b1b8dc56cc,this image shows stonehenge covered in snow i chose this place because it is very old and mysterious and i would like to see it in real life,UK,Snowy,Morning,Winter,sightseeing,Curiosity
https://www.reuters.com/resizer/v2/AHF2FYISNJO55J6N35YJBZ2JYY.jpg?auth=b82b714859942866f732a9488a05c857ebfcc5347f4c912f0725e9e890418cd9&height=1005&quality=80&smart=true&width=1920,eiffel tower in paris at sunset chosen because it s an iconic landmark and dream destination for many travelers,France,Sunny,Evening,Summer,sightseeing,Romance
https://w0.peakpx.com/wallpaper/254/923/HD-wallpaper-old-town-square-sunset-plaza-de-la-ciudad-vieja-skyline-prague-czech-republic-europe.jpg,old town square in prague at sunset chosen for its magical medieval atmosphere and golden skyline,Czech Republic,Sunny,Evening,Fall,sightseeing,Nostalgia
https://images.unsplash.com/photo-1614604292370-f6c00f3e5495?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,falls massive waterfalls on the brazil,Brazil,Sunny,Morning,Summer,exploring,Adventure
https://images.unsplash.com/photo-1555363209-11a72e372ccc?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,pantanal wetlands vast wetland with rivers lakes and diverse wildlife,Brazil,Sunny,Morning,Spring,sightseeing,Excitement
https://images.pexels.com/photos/13395180/pexels-photo-13395180.jpeg?_gl=1*189y0y7*_ga*MjkxOTY2NDUwLjE3NjQ5NTc2Mzk.*_ga_8JE65Q40S6*czE3Njc4MTg0ODckbzMkZzAkdDE3Njc4MTg0ODckajYwJGwwJGgw,serra dos orgos national park mountainous park with jagged rock formations rivers,Brazil,Sunny,Morning,Summer,walking,Adventure
https://images.unsplash.com/photo-1621693247912-767f47a3c382?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,salvador colorful historic streets of pelourinho,Brazil,Sunny,Morning,Summer,sightseeing,Happiness
https://images.pexels.com/photos/35061821/pexels-photo-35061821.jpeg?_gl=1*11tcovu*_ga*MjkxOTY2NDUwLjE3NjQ5NTc2Mzk.*_ga_8JE65Q40S6*czE3Njc4MTg0ODckbzMkZzEkdDE3Njc4MTg1MzkkajgkbDAkaDA.,soca river valley stunning turquoise river flowing through mountains and forests,Slovenia,Sunny,Afternoon,Winter,hiking,Adventure
http://images.pexels.com/photos/2683750/pexels-photo-2683750.jpeg?_gl=1*n9z3s1*_ga*MjkxOTY2NDUwLjE3NjQ5NTc2Mzk.*_ga_8JE65Q40S6*czE3Njc4MTg0ODckbzMkZzEkdDE3Njc4MTg1NzEkajYwJGwwJGgw,iconic peaks glaciers rivers,Chile,Cloudy,Evening,Winter,photography,Adventure
https://images.unsplash.com/photo-1673799468401-efea816f5913?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,mountains matterhorn and alpine peaks,Switzerland,Snowy,Afternoon,Winter,relaxing,Happiness
https://plus.unsplash.com/premium_photo-1711407242242-25837663988b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,thick pine forests rolling hills small villages,Germany,Cloudy,Afternoon,Spring,walking,Nostalgia
https://plus.unsplash.com/premium_photo-1661962946869-4cf54aa4c778?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,pillar like mountains inspiration for avatar movie,China,Cloudy,Morning,Winter,hiking,Curiosity
https://images.pexels.com/photos/15825092/pexels-photo-15825092.jpeg?_gl=1*www18g*_ga*MjkxOTY2NDUwLjE3NjQ5NTc2Mzk.*_ga_8JE65Q40S6*czE3Njc4MTg0ODckbzMkZzEkdDE3Njc4MTg5OTIkajYwJGwwJGgw,blue ice formations inside a glacier,Iceland,Snowy,Afternoon,Winter,hiking,Curiosity
https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/All_Gizah_Pyramids.jpg/1280px-All_Gizah_Pyramids.jpg,the great pyramids of giza in egypt ancient wonders of the world,Egypt,Sunny,Afternoon,Summer,sightseeing,Curiosity
https://upload.wikimedia.org/wikipedia/commons/7/7a/Citadel_of_Qaitbay%2C_Alexandria%2C_Egypt.jpg,the citadel of qaitbay in alexandria egypt a historic fortress on the mediterranean coast,Egypt,Sunny,Afternoon,Summer,sightseeing,Excitement
https://i.pinimg.com/736x/2c/8b/18/2c8b18a95b82a7b9057733d6aca9f87d.jpg,the blue domed churches and white washed buildings of oia santorini greece overlooking the sea,Greece,Cloudy,Evening,Summer,relaxing,Happiness
https://i.pinimg.com/736x/e5/94/15/e59415b46624f94285ecfd1a46d7d131.jpg,a traditional japanese torii gate and temple structure illuminated at dusk suggesting a quiet spiritual place,Japan,Cloudy,Evening,Fall,sightseeing,Melancholy
https://i.pinimg.com/736x/fa/83/84/fa8384d1705e1fcc7042ec5769020dfe.jpg,the eiffel tower in paris france an iconic landmark and symbol of french culture,France,Snowy,Evening,Winter,sightseeing,Romance
https://i.pinimg.com/736x/0a/1d/1c/0a1d1c9f9fcf8c0898499234d854cbc6.jpg,the taj mahal in agra india iconic white marble mausoleum and symbol of love,India,Sunny,Morning,Spring,sightseeing,Adventure
https://i.pinimg.com/736x/4d/04/6f/4d046f9cf02410e30ff5b05b6c0dfdc1.jpg,the elizabeth tower big ben in london a famous historical clock tower,United Kingdom,Snowy,Evening,Winter,relaxing,Happiness
https://i.pinimg.com/736x/21/3d/f2/213df2eb4ce5479f7ffb5b16c8204ebc.jpg,the statue of liberty in new york city usa a symbol of freedom and democracy,USA,Cloudy,Evening,Fall,sightseeing,Excitement
"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,c_scale,q_auto/cnnarabic/2021/04/14/images/182506.jpg",al aqsa mosque a sacred and historical islamic site,Palestine,Rainy,Afternoon,Winter,sightseeing,Nostalgia
https://mlegdx5tedle.i.optimole.com/baCgufs.LVHB~676cd/w:500/h:365/q:auto/rt:fill/g:ce/https://colosseum.info/wp-content/uploads/2019/10/shutterstock_62073784.jpg,colosseum in rome an ancient roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,sightseeing,Curiosity
https://images.pexels.com/photos/7655108/pexels-photo-7655108.jpeg,seoul cityscape vibrant city with modern architecture,South Korea,Cloudy,Evening,Spring,relaxing,Curiosity
https://images.pexels.com/photos/3867371/pexels-photo-3867371.jpeg,eiffel tower in paris an iconic landmark in france,France,Sunny,Afternoon,Fall,sightseeing,Happiness
